Rank,Model,Accuracy,Precision (macro),Recall (macro),F1 (macro),ROC-AUC (OvR macro)
1,SVM,0.815,0.795774914740432,0.8149754500818331,0.8045454545454546,0.9407964171311445
2,Logistic Regression,0.81,0.7985577090972585,0.7935010911074741,0.7958075769393448,0.9379367890261116
3,Random Forest,0.795,0.8089517338554565,0.7537984178941626,0.7752787905925499,0.9185140654972698
4,XGBoost,0.765,0.7432621578963042,0.7504500818330605,0.7466686812598762,0.910253237176973
5,Decision Tree,0.665,0.645570959143667,0.6022299509001636,0.616423565930592,0.7365893461303012
