Model,Class Weighting,Overall Accuracy,Macro F1,Low-Risk (Minority) Precision,Low-Risk (Minority) Recall,Low-Risk (Minority) F1
Logistic Regression,None (Unweighted Baseline),0.825,0.7946965075759169,0.8,0.6153846153846154,0.6956521739130435
Logistic Regression,Balanced (Cost-Sensitive),0.815,0.8050367603085373,0.7692307692307693,0.7692307692307693,0.7692307692307693
Decision Tree,None (Unweighted Baseline),0.68,0.6428587081404121,0.7333333333333333,0.4230769230769231,0.5365853658536586
Decision Tree,Balanced (Cost-Sensitive),0.66,0.6461938152756145,0.5714285714285714,0.6153846153846154,0.5925925925925926
Random Forest,None (Unweighted Baseline),0.775,0.73466800612323,0.9230769230769231,0.46153846153846156,0.6153846153846154
Random Forest,Balanced (Cost-Sensitive),0.79,0.7563917376859743,0.8235294117647058,0.5384615384615384,0.6511627906976745
SVM,None (Unweighted Baseline),0.81,0.7749158249158249,0.875,0.5384615384615384,0.6666666666666666
SVM,Balanced (Cost-Sensitive),0.805,0.7747808194668098,0.6428571428571429,0.6923076923076923,0.6666666666666666
